#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 05 10 00 999 99.0 99.0  1.71  6.25  4.46 351 9999.0  -2.5   6.9 999.0 99.0 99.00
2024 01 05 10 30 999 99.0 99.0  1.75  6.06  4.63 349 9999.0  -2.5   6.9 999.0 99.0 99.00
2024 01 05 11 00 999 99.0 99.0  1.76  6.06  4.54 349 9999.0  -2.7   7.0 999.0 99.0 99.00
2024 01 05 11 30 999 99.0 99.0  1.72  6.06  4.57 347 9999.0  -3.2   7.0 999.0 99.0 99.00
2024 01 05 12 00 999 99.0 99.0  1.65  5.88  4.46 345 9999.0  -3.0   7.0 999.0 99.0 99.00
2024 01 05 12 30 999 99.0 99.0  1.65  5.88  4.46 347 9999.0  -3.3   7.0 999.0 99.0 99.00
2024 01 05 13 00 999 99.0 99.0  1.67  6.45  4.52 359 9999.0  -3.1   7.0 999.0 99.0 99.00
2024 01 05 13 30 999 99.0 99.0  1.55  5.71  4.40 341 9999.0  -2.9   7.0 999.0 99.0 99.00
2024 01 05 14 00 999 99.0 99.0  1.62  5.88  4.54 342 9999.0  -2.6   7.0 999.0 99.0 99.00
2024 01 05 14 30 999 99.0 99.0  1.57  6.45  4.46 348 9999.0  -2.6   7.0 999.0 99.0 99.00
